Tweets,label
" Dear Media, The Nation wants to know about status of Covid 19 cases in India and how government is handling it, JEET/NEET…",1
 No. Like they've been saying all along. If you have other illnesses like diabetes you're high risk of dying if you get covid. 94% of people had other illnesses. Only 6% didn't. Doesn't mean only 9K ppl died from covid.,-1
 Spain’s second wave: Worrying that the report says the median age is 37 and beds are filling up in hospitals. The youn…,0
 Congrats on the marriage  thing. Hey Derby Weekend steaks. booze and gambling cant beat that. Small crowd Covid Free...Message me if you want me to save you a spot on the deck. Stay Safe!      ,1
 We are really in September . Wow. Still living in covid. ????,1
"The SoS for Health has to act with absolute neutrality when making decisions on where lockdowns remain in place. The evidence suggests ? is doing exactly the opposite, putting lives at risk to appease Tory politicians. Shame on him. ",1
" Will Twitter and CNN Attack and Take Down FOX, ABC and CBS Articles on COVID-19 Which Mirrored Our Report Retweeted by P…",-1
"With Fans Forbidden Due To COVID-19, A Noticeably Quiet U.S. Open Kicks Off In Queens ",-1
 More deaths by suicide in Ireland this week than COVID but I’m sure nothing will be broadcasted on the tv about the strug…,1
 Of course it will spike.  The people who go to huge gatherings right now are asking to be infected with Covid.  With all the ignorant people running around and not social distanting we will never be rid of this pandemic.,1
Athena Security’s Temperature Detection iPad App is Helping to Fight COVID ? ? ???????? ? ???? ,0
 The government conducted the JEE MAINS exam very smoothly. All the precautions were taken and SOP'S were intact. Commen…,1
"TODAY'S RADAR, 9/1/20:• US: 6M Covid cases, 183K+ deaths• Blake family hosts gathering at shooting site• Trump heads to Kenosha, WI• Mnuchin testifies @ House COVID hearing • MA Senate primary: Markey v. Kennedy • Possible TikTok deal?• And??  ",1
"""A multisectoral approach is required to sustain responsible coordination to create educational programs centered around the sexual and reproductive health of women to reverse the ability of male-centric structures to withhold reproductive healthcare."" ",1
" Before  hikes our taxes &amp; raids pensions to pay for the Covid bill, our government must get their priorities…",0
?? We've published the latest COVID-19 data for the district to keep residents up to date. Find out more at ??  ,1
" It's back. Like a lewd, unwanted uncle, Covid-19 is back in Italy. It isn't quite a second wave but new cases have jumped from under 200 a day in June to nearly 1,300. Here's my latest report in Dog-Eared Passport:  ",1
Managing uncertainty in the covid-19 era | The BMJ ,0
